serial_no,open_date,b1,b2,b3,b4,b5,r1,r2
2016151,2016-12-24 (六),04,07,11,14,21,05,12
2016150,2016-12-21 (三),01,10,18,24,29,07,10
2016149,2016-12-19 (一),01,02,03,12,33,04,09
2016148,2016-12-17 (六),05,14,15,23,25,06,08
2016147,2016-12-14 (三),07,19,20,28,30,04,12
2016146,2016-12-12 (一),21,22,25,29,34,01,11
2016145,2016-12-10 (六),01,09,11,17,28,03,08
2016144,2016-12-07 (三),04,05,13,22,31,05,10
2016143,2016-12-05 (一),04,06,22,27,31,06,07
2016142,2016-12-03 (六),01,06,17,23,26,06,12
2016141,2016-11-30 (三),02,06,07,19,28,11,12
2016140,2016-11-28 (一),12,16,23,29,34,04,11
2016139,2016-11-26 (六),13,21,30,31,35,01,08
2016138,2016-11-23 (三),12,13,16,29,35,05,11
2016137,2016-11-21 (一),07,20,23,29,34,02,10
2016136,2016-11-19 (六),05,06,07,19,23,04,11
2016135,2016-11-16 (三),01,10,12,18,35,01,12
2016134,2016-11-14 (一),01,03,31,32,34,02,07
2016133,2016-11-12 (六),01,04,05,23,28,05,09
2016132,2016-11-09 (三),04,18,19,22,35,01,02
2016131,2016-11-07 (一),06,13,25,28,30,02,07
2016130,2016-11-05 (六),11,23,32,33,34,01,12
2016129,2016-11-02 (三),07,08,19,30,35,08,09
2016128,2016-10-31 (一),17,20,22,30,33,07,08
2016127,2016-10-29 (六),01,05,15,24,26,09,10
2016126,2016-10-26 (三),11,13,16,19,24,06,08
2016125,2016-10-24 (一),06,07,08,28,30,01,02
2016124,2016-10-22 (六),04,13,24,26,29,08,11
2016123,2016-10-19 (三),04,05,13,20,32,01,10
2016122,2016-10-17 (一),01,03,12,14,29,02,06
2016121,2016-10-15 (六),04,05,08,15,20,01,06
2016120,2016-10-12 (三),03,10,20,32,34,04,07
2016119,2016-10-10 (一),02,03,09,21,22,05,10
2016118,2016-10-08 (六),12,15,18,24,29,03,11
2016117,2016-10-05 (三),03,09,14,16,23,02,09
2016116,2016-10-03 (一),04,06,08,19,34,10,12
2016115,2016-10-01 (六),01,04,15,31,34,02,11
2016114,2016-09-28 (三),16,17,20,32,33,03,07
2016113,2016-09-26 (一),10,11,17,30,34,03,12
2016112,2016-09-24 (六),07,22,23,31,32,04,05
2016111,2016-09-21 (三),04,09,22,26,27,02,12
2016110,2016-09-19 (一),07,20,21,23,30,07,10
2016109,2016-09-17 (六),03,25,28,31,34,11,12
2016108,2016-09-14 (三),10,17,22,23,25,07,09
2016107,2016-09-12 (一),02,06,19,24,26,04,06
2016106,2016-09-10 (六),03,21,30,33,35,01,04
2016105,2016-09-07 (三),08,11,31,34,35,01,02
2016104,2016-09-05 (一),01,20,22,23,30,06,07
2016103,2016-09-03 (六),05,14,20,23,29,03,11
2016102,2016-08-31 (三),03,05,06,34,35,03,12
2016101,2016-08-29 (一),04,06,28,33,35,07,12
2016100,2016-08-27 (六),08,12,19,26,30,02,12
2016099,2016-08-24 (三),03,04,12,14,27,01,05
2016098,2016-08-22 (一),08,09,11,20,29,04,05
2016097,2016-08-20 (六),06,08,18,31,33,10,12
2016096,2016-08-17 (三),01,06,08,12,21,05,10
2016095,2016-08-15 (一),08,12,18,19,21,03,06
2016094,2016-08-13 (六),01,14,16,17,18,05,07
2016093,2016-08-10 (三),01,08,14,30,35,06,07
2016092,2016-08-08 (一),02,13,31,33,34,07,11
2016091,2016-08-06 (六),08,13,17,21,22,02,08
2016090,2016-08-03 (三),04,06,08,28,32,07,12
2016089,2016-08-01 (一),07,14,17,28,34,07,10
2016088,2016-07-30 (六),04,06,17,21,30,06,11
2016087,2016-07-27 (三),03,16,17,23,25,07,09
2016086,2016-07-25 (一),03,05,22,25,30,07,09
2016085,2016-07-23 (六),14,15,27,31,32,01,07
2016084,2016-07-20 (三),08,12,15,26,35,01,08
2016083,2016-07-18 (一),01,05,09,33,35,01,05
2016082,2016-07-16 (六),03,08,23,28,29,02,07
2016081,2016-07-13 (三),06,07,18,21,33,03,08
2016080,2016-07-11 (一),15,20,29,30,33,07,12
2016079,2016-07-09 (六),07,14,15,20,27,05,10
2016078,2016-07-06 (三),07,18,29,31,35,05,11
2016077,2016-07-04 (一),09,11,14,16,35,02,05
2016076,2016-07-02 (六),03,08,10,17,31,05,06
2016075,2016-06-29 (三),03,07,17,22,31,08,12
2016074,2016-06-27 (一),01,05,07,11,14,03,08
2016073,2016-06-25 (六),07,14,17,24,27,08,10
2016072,2016-06-22 (三),16,20,24,26,31,04,09
2016071,2016-06-20 (一),08,15,19,20,33,07,12
2016070,2016-06-18 (六),02,09,13,19,23,05,07
2016069,2016-06-15 (三),14,17,19,23,30,02,09
2016068,2016-06-13 (一),05,07,22,26,34,07,12
2016067,2016-06-11 (六),02,08,11,13,19,02,08
2016066,2016-06-08 (三),10,28,29,31,33,05,11
2016065,2016-06-06 (一),01,09,18,22,24,11,12
2016064,2016-06-04 (六),01,02,10,18,35,05,11
2016063,2016-06-01 (三),08,12,22,27,35,05,09
2016062,2016-05-30 (一),02,10,14,15,35,01,09
2016061,2016-05-28 (六),09,15,17,21,23,07,12
2016060,2016-05-25 (三),02,06,22,27,34,08,11
2016059,2016-05-23 (一),02,10,27,28,33,05,07
2016058,2016-05-21 (六),02,15,17,23,28,05,09
2016057,2016-05-18 (三),08,17,19,23,30,03,08
2016056,2016-05-16 (一),10,12,14,31,35,04,05
2016055,2016-05-14 (六),06,21,27,30,34,04,09
2016054,2016-05-11 (三),02,05,09,21,30,06,07
2016053,2016-05-09 (一),04,13,15,30,35,03,05
2016052,2016-05-07 (六),08,14,19,20,33,10,11
2016051,2016-05-04 (三),16,21,23,24,32,07,08
2016050,2016-05-02 (一),07,17,21,29,35,04,05
2016049,2016-04-30 (六),03,04,05,27,33,04,09
2016048,2016-04-27 (三),04,12,17,25,27,04,10
2016047,2016-04-25 (一),02,03,23,29,32,05,09
2016046,2016-04-23 (六),03,19,22,32,34,08,12
2016045,2016-04-20 (三),07,11,25,30,33,02,08
2016044,2016-04-18 (一),01,06,10,20,31,05,11
2016043,2016-04-16 (六),01,09,16,33,34,09,12
2016042,2016-04-13 (三),02,06,08,19,24,01,06
2016041,2016-04-11 (一),12,23,24,27,34,03,06
2016040,2016-04-09 (六),20,22,29,30,35,01,06
2016039,2016-04-06 (三),01,08,16,22,28,04,05
2016038,2016-04-04 (一),03,07,09,15,33,05,12
2016037,2016-04-02 (六),03,05,13,24,34,03,05
2016036,2016-03-30 (三),07,15,26,30,31,03,06
2016035,2016-03-28 (一),17,22,24,25,29,09,12
2016034,2016-03-26 (六),14,18,31,32,35,09,10
2016033,2016-03-23 (三),03,14,15,31,35,09,10
2016032,2016-03-21 (一),05,09,14,20,33,05,12
2016031,2016-03-19 (六),03,14,24,27,29,04,11
2016030,2016-03-16 (三),10,19,21,29,33,04,06
2016029,2016-03-14 (一),20,26,27,29,32,05,12
2016028,2016-03-12 (六),13,18,20,23,31,03,06
2016027,2016-03-09 (三),06,11,13,15,28,02,06
2016025,2016-03-05 (六),03,06,13,23,24,07,10
2016024,2016-03-02 (三),01,02,11,15,18,04,08
2016023,2016-02-29 (一),04,09,14,25,27,06,11
2016022,2016-02-27 (六),04,18,21,30,35,02,11
2016021,2016-02-24 (三),01,04,09,10,35,09,11
2016020,2016-02-22 (一),01,16,22,29,30,02,09
2016019,2016-02-20 (六),04,11,15,20,26,08,09
2016018,2016-02-17 (三),05,10,13,27,33,08,11
2016017,2016-02-15 (一),11,18,24,28,29,05,10
2016016,2016-02-06 (六),03,10,22,29,32,02,05
2016015,2016-02-03 (三),01,04,10,13,30,03,09
2016014,2016-02-01 (一),06,08,21,24,27,02,10
2016013,2016-01-30 (六),03,21,23,31,35,02,11
2016012,2016-01-27 (三),05,07,11,23,28,03,12
2016011,2016-01-25 (一),02,08,10,15,23,05,10
2016010,2016-01-23 (六),12,13,15,16,28,02,05
2016009,2016-01-20 (三),05,08,10,17,20,02,12
2016008,2016-01-18 (一),05,12,31,34,35,04,05
2016007,2016-01-16 (六),02,05,14,32,35,01,03
2016006,2016-01-13 (三),14,16,17,22,24,02,09
2016005,2016-01-11 (一),06,09,12,15,20,08,11
2016004,2016-01-09 (六),10,20,23,32,35,09,10
2016003,2016-01-06 (三),04,12,17,22,26,06,07
2016002,2016-01-04 (一),07,12,18,25,35,07,09
2016001,2016-01-02 (六),01,07,19,20,30,05,10
2015153,2015-12-30 (三),01,07,22,27,33,02,11
2015152,2015-12-28 (一),04,05,22,29,35,02,11
2015151,2015-12-26 (六),15,16,18,30,35,01,07
2015150,2015-12-23 (三),04,13,18,25,33,03,07
2015149,2015-12-21 (一),04,06,10,12,28,02,08
2015148,2015-12-19 (六),08,11,27,31,33,08,09
2015147,2015-12-16 (三),01,02,13,18,19,08,10
2015146,2015-12-14 (一),04,15,19,27,31,04,11
2015145,2015-12-12 (六),06,07,20,29,32,11,12
2015144,2015-12-09 (三),01,09,24,26,29,06,11
2015143,2015-12-07 (一),09,20,31,33,35,10,11
